,Day,yyyy_mm_dd,facility_county,ENCOUNTER_FACILITY_NAME,ENCOUNTER_FACILITY_STREET,ENCOUNTER_FACILITY_CITY,ENCOUNTER_FACILITY_STATE,ENCOUNTER_FACILITY_ZIP,mem_cnt,covid19_related_mem_cnt
807,03-27,2020-03-27,Worcester,Heywood Hospital,242 Green Street,Gardner,MA,01440,1,0.0
808,03-29,2020-03-29,Worcester,UMass Memorial - HealthAlliance,60 Hospital Rd.,Leominster,MA,01453,1,0.0
809,01-02,2020-01-02,Plymouth,Tobey Hospital,43 High Street,Wareham,MA,02571,2,0.0
810,01-04,2020-01-04,Suffolk,St. Elizabeth's Medical Center,736 Cambridge St.,Brighton,MA,02135,10,0.0
811,01-13,2020-01-13,Middlesex,Lahey Hospital - Burlington,41 Burlington Mall Road,Burlington,MA,01805,4,3.0
812,01-16,2020-01-16,Bristol,Charlton Memorial Hospital,363 Highland Ave,Fall River,MA,02720,6,3.0
813,01-17,2020-01-17,Hampshire,Cooley Dickinson Hospital,30 Locust Street (Route 9),Northampton,MA,01061,1,0.0
814,01-18,2020-01-18,Hampden,Holyoke Medical Center,575 Beech St,Holyoke,MA,01040,1,0.0
815,01-18,2020-01-18,Norfolk,Next Step - Walpole HealthCare - SNF,160 Main St.,Walpole,MA,02081,1,1.0
816,01-20,2020-01-20,Plymouth,Tobey Hospital,43 High Street,Wareham,MA,02571,1,1.0
817,01-23,2020-01-23,Worcester,UMass Memorial - Medical Center University,55 N Lake Ave.,Worcester,MA,01655,15,3.0
818,01-23,2020-01-23,Worcester,UMass Memorial Medical Center,119 Belmont Street,Worcester,MA,01605,4,3.0
819,01-25,2020-01-25,Essex,Beverly Hospital,85 Herrick St,Beverly,MA,01915,2,0.0
820,01-25,2020-01-25,Hampden,Baystate Noble Hospital,115 West Silver Street,Westfield,MA,01085,2,0.0
821,01-27,2020-01-27,Essex,Anna Jaques Hospital,25 Highland Ave,Newburyport,MA,01950,2,0.0
822,02-03,2020-02-03,Middlesex,Lahey Hospital - Burlington,41 Burlington Mall Road,Burlington,MA,01805,8,3.0
823,02-04,2020-02-04,Bristol,Charlton Memorial Hospital,363 Highland Ave,Fall River,MA,02720,2,0.0
824,02-25,2020-02-25,Hampden,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,1,0.0
825,02-28,2020-02-28,Franklin,Baystate Franklin Medical Center,164 High St,Greenfield,MA,01301,3,0.0
826,03-05,2020-03-05,Middlesex,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,4,0.0
827,03-06,2020-03-06,Suffolk,St. Elizabeth's Medical Center,736 Cambridge St.,Brighton,MA,02135,5,0.0
828,03-07,2020-03-07,Essex,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,1,1.0
829,03-10,2020-03-10,Hampshire,Cooley Dickinson Hospital,30 Locust Street (Route 9),Northampton,MA,01061,1,0.0
830,03-11,2020-03-11,Middlesex,Lahey Hospital - Burlington,41 Burlington Mall Road,Burlington,MA,01805,9,5.0
831,03-12,2020-03-12,Bristol,Charlton Memorial Hospital,363 Highland Ave,Fall River,MA,02720,4,2.0
832,03-14,2020-03-14,Middlesex,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,1,0.0
833,03-17,2020-03-17,Plymouth,Athena Healthcare - Plymouth Rehabilitation and Health Care Center - SNF,123 South St,Plymouth,MA,02360,1,0.0
834,03-19,2020-03-19,Hampshire,Baystate Mary Lane Outpatient Center,85 South St,Ware,MA,01082,1,0.0
835,03-25,2020-03-25,Suffolk,Massachusetts General Hospital,55 Fruit Street,Boston,MA,02114,8,2.0
836,01-02,2020-01-02,Essex,Anna Jaques Hospital,25 Highland Ave,Newburyport,MA,01950,2,0.0
837,01-14,2020-01-14,Middlesex,Lowell General Hospital,295 Varnum Avenue,Lowell,MA,01854,7,4.0
838,01-19,2020-01-19,Franklin,Baystate Franklin Medical Center,164 High St,Greenfield,MA,01301,1,0.0
839,01-23,2020-01-23,Bristol,Saint Anne's Hospital,795 Middle St.,Fall River,MA,02721,5,0.0
840,01-31,2020-01-31,Essex,Lawrence General Hospital,1 General St,Lawrence,MA,01841,2,1.0
841,02-01,2020-02-01,Essex,Lahey Hospital - Peabody,1 Essex Center Dr,Peabody,MA,01960,1,1.0
842,02-03,2020-02-03,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,5,3.0
843,02-04,2020-02-04,Bristol,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,4,0.0
844,02-05,2020-02-05,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,8,5.0
845,02-13,2020-02-13,Suffolk,Spaulding Rehabiliation Hospital - Boston,300 First Avenue,Charlestown,MA,02129,1,0.0
846,02-16,2020-02-16,Norfolk,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,13,8.0
847,02-20,2020-02-20,Franklin,Baystate Franklin Medical Center,164 High St,Greenfield,MA,01301,4,0.0
848,02-20,2020-02-20,Hampshire,Cooley Dickinson Hospital,30 Locust Street (Route 9),Northampton,MA,01061,3,2.0
849,02-23,2020-02-23,Middlesex,Metrowest Medical Center - Framingham,115 LINCOLN ST,FRAMINGHAM,MA,01702,2,0.0
850,03-03,2020-03-03,Plymouth,Brockton Hospital,680 Centre St,Brockton,MA,02302,3,1.0
851,03-08,2020-03-08,Suffolk,Massachusetts General Hospital,55 Fruit Street,Boston,MA,02114,12,5.0
852,03-14,2020-03-14,Worcester,Saint Vincent Hospital,123 Summer St.,Worchester,MA,01608,1,0.0
853,03-16,2020-03-16,Middlesex,Mount Auburn Hospital,330 MOUNT AUBURN ST,CAMBRIDGE,MA,02138,6,1.0
854,03-17,2020-03-17,Middlesex,UMass Memorial - Marlborough,159 Union St Suite 103,Marlborough,MA,01752,2,0.0
855,03-24,2020-03-24,Franklin,Baystate Franklin Medical Center,164 High St,Greenfield,MA,01301,1,0.0
856,01-13,2020-01-13,Suffolk,Massachusetts General Hospital,55 Fruit Street,Boston,MA,02114,6,3.0
857,01-14,2020-01-14,Bristol,Charlton Memorial Hospital,363 Highland Ave,Fall River,MA,02720,4,3.0
858,01-14,2020-01-14,Hampshire,Baystate Mary Lane Outpatient Center,85 South St,Ware,MA,01082,3,0.0
859,01-22,2020-01-22,0,Beth Israel Deaconess Medical Center,330 Brookline Avenue,Boston,MA,0225,8,0.0
860,02-01,2020-02-01,Norfolk,Next Step - Walpole HealthCare - SNF,160 Main St.,Walpole,MA,02081,1,0.0
861,02-02,2020-02-02,Suffolk,Massachusetts General Hospital,55 Fruit Street,Boston,MA,02114,7,1.0
862,02-07,2020-02-07,0,Beth Israel Deaconess Medical Center,330 Brookline Avenue,Boston,MA,0225,19,0.0
863,02-11,2020-02-11,Essex,NHA-Country Center for Health & Rehab - SNF,180 Low St,Newburyport,MA,01950,1,0.0
864,02-11,2020-02-11,Worcester,UMass Memorial ED,119 Belmont St,Worcester,MA,01605,1,1.0
865,02-16,2020-02-16,Worcester,UMass Memorial - Medical Center University,55 N Lake Ave.,Worcester,MA,01655,5,1.0
866,02-21,2020-02-21,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,5,1.0
867,03-01,2020-03-01,Middlesex,Lowell General Saints Campus,1 Hospital Dr,Lowell,MA,01852,1,0.0
868,03-03,2020-03-03,Essex,Holy Family Hospital-Haverhill,140 Lincoln Ave.,Haverhill,MA,01830,5,0.0
869,03-05,2020-03-05,Essex,North Shore Medical Center - Salem,81 Highland Ave,Salem,MA,01970,3,3.0
870,03-05,2020-03-05,Suffolk,Tufts Medical Center,"800 Washington St,",Boston,MA,02111,4,0.0
871,03-06,2020-03-06,Middlesex,Metrowest Medical Center - Framingham,115 LINCOLN ST,FRAMINGHAM,MA,01702,2,0.0
872,03-10,2020-03-10,Middlesex,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,5,0.0
873,03-11,2020-03-11,Plymouth,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,6,0.0
874,03-17,2020-03-17,Bristol,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,6,5.0
875,03-17,2020-03-17,Hampden,Baystate Medical Center,"759 Chestnut St,",Springfield,MA,01199,8,0.0
876,03-18,2020-03-18,Middlesex,Lahey Hospital - Burlington,41 Burlington Mall Road,Burlington,MA,01805,6,3.0
877,03-25,2020-03-25,Middlesex,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,3,0.0
878,03-25,2020-03-25,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,3,1.0
879,01-01,2020-01-01,Middlesex,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,1,0.0
880,01-14,2020-01-14,Bristol,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,6,3.0
881,01-16,2020-01-16,Plymouth,Brockton Hospital,680 Centre St,Brockton,MA,02302,4,1.0
882,01-22,2020-01-22,Hampden,Holyoke Medical Center,575 Beech St,Holyoke,MA,01040,2,0.0
883,01-22,2020-01-22,Plymouth,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,12,0.0
884,01-25,2020-01-25,Bristol,Charlton Memorial Hospital,363 Highland Ave,Fall River,MA,02720,3,1.0
885,01-31,2020-01-31,Bristol,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,4,0.0
886,02-02,2020-02-02,Essex,Anna Jaques Hospital,25 Highland Ave,Newburyport,MA,01950,1,0.0
887,02-28,2020-02-28,Middlesex,Emerson Hospital,133 Old Rd to 9 Acre Corner,Concord,MA,01742,5,0.0
888,03-05,2020-03-05,Worcester,UMass Memorial - HealthAlliance,60 Hospital Rd.,Leominster,MA,01453,3,2.0
889,03-12,2020-03-12,Norfolk,Norwood Hospital,800 Washington St.,Norwood,MA,02062,6,0.0
890,03-14,2020-03-14,Norfolk,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,4,4.0
891,03-21,2020-03-21,Bristol,Morton Hospital,88 Washington St.,Taunton,MA,02780,3,0.0
892,03-29,2020-03-29,Suffolk,Carney Hospital,2100 Dorchester Ave,Dorchester,MA,02124,6,0.0
893,01-01,2020-01-01,Middlesex,Melrose-Wakefield Medical,888 Main Street,Wakefield,MA,01880,2,0.0
894,01-09,2020-01-09,Norfolk,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,8,4.0
895,01-15,2020-01-15,Worcester,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,1,1.0
896,01-18,2020-01-18,Dukes,Martha's Vineyard Hospital,1 Hospital Rd,Oak Bluffs,MA,02557,1,1.0
897,01-24,2020-01-24,Worcester,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,5,0.0
898,01-30,2020-01-30,Hampden,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,5,0.0
899,01-30,2020-01-30,Hampshire,Cooley Dickinson Hospital,30 Locust Street (Route 9),Northampton,MA,01061,3,1.0
900,01-31,2020-01-31,Essex,Lahey Hospital - Peabody,1 Essex Center Dr,Peabody,MA,01960,3,2.0
901,02-02,2020-02-02,Hampden,Holyoke Medical Center,575 Beech St,Holyoke,MA,01040,5,0.0
902,02-04,2020-02-04,Worcester,UMass Memorial ED,119 Belmont St,Worcester,MA,01605,3,2.0
903,02-10,2020-02-10,Middlesex,Emerson Hospital,133 Old Rd to 9 Acre Corner,Concord,MA,01742,1,0.0
904,02-11,2020-02-11,Franklin,Baystate Franklin Medical Center,164 High St,Greenfield,MA,01301,2,0.0
905,02-11,2020-02-11,Middlesex,Winchester Hospital,41 Highland Ave,Winchester,MA,01890,10,8.0
906,02-23,2020-02-23,Essex,Lawrence General Hospital,1 General St,Lawrence,MA,01841,3,0.0
907,02-25,2020-02-25,Suffolk,Brigham And Women's Hospital,75 Francis St,Boston,MA,02115,7,1.0
908,02-28,2020-02-28,Middlesex,Lowell General Hospital,295 Varnum Avenue,Lowell,MA,01854,4,0.0
909,03-02,2020-03-02,Middlesex,UMass Memorial - Marlborough,159 Union St Suite 103,Marlborough,MA,01752,1,0.0
910,03-11,2020-03-11,Bristol,Charlton Memorial Hospital,363 Highland Ave,Fall River,MA,02720,3,1.0
911,03-11,2020-03-11,Suffolk,Carney Hospital,2100 Dorchester Ave,Dorchester,MA,02124,3,0.0
912,03-16,2020-03-16,Essex,Beverly Hospital,85 Herrick St,Beverly,MA,01915,2,1.0
913,03-16,2020-03-16,Suffolk,Brigham And Women's Hospital,75 Francis St,Boston,MA,02115,7,1.0
914,03-21,2020-03-21,Middlesex,Lahey Hospital - Burlington,41 Burlington Mall Road,Burlington,MA,01805,4,0.0
915,03-21,2020-03-21,Worcester,UMass Memorial - HealthAlliance,60 Hospital Rd.,Leominster,MA,01453,1,1.0
916,03-26,2020-03-26,Middlesex,Lawrence Memorial Hospital of Medford,170 Governors Avenue,Medford,MA,02155,1,0.0
917,01-01,2020-01-01,Worcester,UMass Memorial - Medical Center University,55 N Lake Ave.,Worcester,MA,01655,13,2.0
918,01-06,2020-01-06,Bristol,Morton Hospital,88 Washington St.,Taunton,MA,02780,6,0.0
919,01-08,2020-01-08,Essex,Lawrence General Hospital,1 General St,Lawrence,MA,01841,4,1.0
920,01-17,2020-01-17,Worcester,UMass Memorial ED,119 Belmont St,Worcester,MA,01605,1,0.0
921,01-22,2020-01-22,Middlesex,Emerson Hospital,133 Old Rd to 9 Acre Corner,Concord,MA,01742,3,0.0
922,01-26,2020-01-26,Middlesex,Mount Auburn Hospital,330 MOUNT AUBURN ST,CAMBRIDGE,MA,02138,5,1.0
923,01-28,2020-01-28,Suffolk,Tufts Medical Center,"800 Washington St,",Boston,MA,02111,5,0.0
924,02-01,2020-02-01,Suffolk,Carney Hospital,2100 Dorchester Ave,Dorchester,MA,02124,2,0.0
925,02-03,2020-02-03,Middlesex,Emerson Hospital,133 Old Rd to 9 Acre Corner,Concord,MA,01742,7,1.0
926,02-13,2020-02-13,Plymouth,Harbor House Nursing & Rehab Center - SNF,11 Condito Rd,Hingham,MA,02043,1,1.0
927,03-01,2020-03-01,Suffolk,Carney Hospital,2100 Dorchester Ave,Dorchester,MA,02124,3,0.0
928,03-05,2020-03-05,Bristol,Charlton Memorial Hospital,363 Highland Ave,Fall River,MA,02720,2,1.0
929,03-05,2020-03-05,Worcester,UMass Memorial Medical Center,119 Belmont Street,Worcester,MA,01605,5,2.0
930,03-06,2020-03-06,Essex,Beverly Hospital,85 Herrick St,Beverly,MA,01915,5,0.0
931,03-09,2020-03-09,Middlesex,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,2,0.0
932,03-15,2020-03-15,Suffolk,St. Elizabeth's Medical Center,736 Cambridge St.,Brighton,MA,02135,10,0.0
933,03-15,2020-03-15,Worcester,UMass Memorial Medical Center,119 Belmont Street,Worcester,MA,01605,3,0.0
934,03-21,2020-03-21,Bristol,Saint Anne's Hospital,795 Middle St.,Fall River,MA,02721,4,0.0
935,03-29,2020-03-29,Bristol,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,2,0.0
936,03-29,2020-03-29,Essex,North Shore Medical Center - Salem,81 Highland Ave,Salem,MA,01970,3,1.0
937,01-02,2020-01-02,Hampden,Holyoke Medical Center,575 Beech St,Holyoke,MA,01040,1,0.0
938,01-02,2020-01-02,Middlesex,Metrowest Medical Center - Framingham,115 LINCOLN ST,FRAMINGHAM,MA,01702,1,0.0
939,01-03,2020-01-03,Essex,Lahey Hospital - Peabody,1 Essex Center Dr,Peabody,MA,01960,2,2.0
940,01-08,2020-01-08,Essex,Beverly Hospital,85 Herrick St,Beverly,MA,01915,2,0.0
941,01-15,2020-01-15,Bristol,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,3,0.0
942,01-22,2020-01-22,Norfolk,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,6,4.0
943,01-26,2020-01-26,Middlesex,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,1,0.0
944,02-01,2020-02-01,Worcester,UMass Memorial - Medical Center University,55 N Lake Ave.,Worcester,MA,01655,5,2.0
945,02-04,2020-02-04,Essex,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,1,0.0
946,02-06,2020-02-06,Middlesex,Emerson Hospital,133 Old Rd to 9 Acre Corner,Concord,MA,01742,6,1.0
947,02-11,2020-02-11,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,9,1.0
948,02-13,2020-02-13,Middlesex,Emerson Hospital,133 Old Rd to 9 Acre Corner,Concord,MA,01742,1,0.0
949,02-23,2020-02-23,Middlesex,Newton-Wellesley Hospital,2014 Washington St,Newton,MA,02462,9,2.0
950,02-23,2020-02-23,Plymouth,Tobey Hospital,43 High Street,Wareham,MA,02571,2,1.0
951,03-08,2020-03-08,Worcester,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,1,1.0
952,03-09,2020-03-09,Plymouth,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,12,0.0
953,03-20,2020-03-20,Worcester,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,1,1.0
954,03-24,2020-03-24,Plymouth,Life Care Center of West Bridgewater - SNF,765 W Center St,West Bridgewater,MA,02379,3,0.0
955,01-05,2020-01-05,Worcester,UMass Memorial Medical Center,119 Belmont Street,Worcester,MA,01605,3,0.0
956,01-06,2020-01-06,Franklin,Baystate Franklin Medical Center,164 High St,Greenfield,MA,01301,1,0.0
957,01-08,2020-01-08,Hampden,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,4,0.0
958,01-18,2020-01-18,Bristol,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,2,2.0
959,01-19,2020-01-19,Worcester,Saint Vincent Hospital,123 Summer St.,Worchester,MA,01608,4,0.0
960,02-04,2020-02-04,Plymouth,Brockton Hospital,680 Centre St,Brockton,MA,02302,3,1.0
961,02-07,2020-02-07,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,4,1.0
962,02-09,2020-02-09,Plymouth,Brockton Hospital,680 Centre St,Brockton,MA,02302,3,0.0
963,02-10,2020-02-10,Essex,Holy Family Hospital-Haverhill,140 Lincoln Ave.,Haverhill,MA,01830,3,0.0
964,02-13,2020-02-13,Barnstable,Spaulding Rehabiliation Hospital - Cape Cod,311 Service Road,East Sandwich,MA,02537,1,0.0
965,02-23,2020-02-23,Dukes,Martha's Vineyard Hospital,1 Hospital Rd,Oak Bluffs,MA,02557,1,0.0
966,02-23,2020-02-23,Worcester,UMass Memorial Medical Center,119 Belmont Street,Worcester,MA,01605,3,0.0
967,03-01,2020-03-01,Hampden,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,3,0.0
968,03-01,2020-03-01,Middlesex,Mount Auburn Hospital,330 MOUNT AUBURN ST,CAMBRIDGE,MA,02138,2,0.0
969,03-01,2020-03-01,Worcester,Heywood Hospital,242 Green Street,Gardner,MA,01440,2,0.0
970,03-05,2020-03-05,Hampden,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,3,0.0
971,03-10,2020-03-10,Middlesex,Metrowest Medical Center - Framingham,115 LINCOLN ST,FRAMINGHAM,MA,01702,6,0.0
972,03-12,2020-03-12,Bristol,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,3,2.0
973,03-12,2020-03-12,Suffolk,Brigham and Women's Faulkner Hospital,1153 Centre St,Boston,MA,02130,1,1.0
974,03-16,2020-03-16,Hampden,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,4,1.0
975,03-18,2020-03-18,Norfolk,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,5,2.0
976,03-20,2020-03-20,Suffolk,Brigham And Women's Hospital,75 Francis St,Boston,MA,02115,6,0.0
977,03-20,2020-03-20,Suffolk,Tufts Medical Center,"800 Washington St,",Boston,MA,02111,8,0.0
978,03-29,2020-03-29,Hampden,Holyoke Medical Center,575 Beech St,Holyoke,MA,01040,3,0.0
979,01-06,2020-01-06,Middlesex,Emerson Hospital,133 Old Rd to 9 Acre Corner,Concord,MA,01742,2,0.0
980,01-10,2020-01-10,Franklin,Charlene Manor Extended Care,130 Colrain Rd.,Greenfield,MA,01301,1,1.0
981,01-21,2020-01-21,Essex,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,1,0.0
982,01-28,2020-01-28,Hampden,Baystate Medical Center,"759 Chestnut St,",Springfield,MA,01199,11,0.0
983,01-28,2020-01-28,Worcester,Heywood Hospital,242 Green Street,Gardner,MA,01440,3,0.0
984,02-04,2020-02-04,Essex,Lawrence General Hospital,1 General St,Lawrence,MA,01841,3,2.0
985,02-13,2020-02-13,Norfolk,Norwood Hospital,800 Washington St.,Norwood,MA,02062,5,0.0
986,03-01,2020-03-01,Worcester,Athol Hospital,2033 Main St,Athol,MA,01331,2,0.0
987,03-05,2020-03-05,Essex,Holy Family Hospital-Haverhill,140 Lincoln Ave.,Haverhill,MA,01830,6,0.0
988,03-07,2020-03-07,Essex,Beverly Hospital,85 Herrick St,Beverly,MA,01915,10,2.0
989,03-11,2020-03-11,Bristol,Morton Hospital,88 Washington St.,Taunton,MA,02780,5,0.0
990,03-13,2020-03-13,Bristol,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,5,2.0
991,03-14,2020-03-14,Franklin,Baystate Franklin Medical Center,164 High St,Greenfield,MA,01301,3,0.0
992,03-14,2020-03-14,Worcester,Athol Hospital,2033 Main St,Athol,MA,01331,1,0.0
993,03-15,2020-03-15,Hampden,Holyoke Medical Center,575 Beech St,Holyoke,MA,01040,4,0.0
994,03-16,2020-03-16,Essex,Lawrence General Hospital,1 General St,Lawrence,MA,01841,2,1.0
995,03-25,2020-03-25,Norfolk,Norwood Hospital,800 Washington St.,Norwood,MA,02062,7,0.0
996,01-05,2020-01-05,Middlesex,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,2,0.0
997,01-08,2020-01-08,Middlesex,Emerson Hospital,133 Old Rd to 9 Acre Corner,Concord,MA,01742,2,0.0
998,01-08,2020-01-08,Middlesex,Winchester Hospital,41 Highland Ave,Winchester,MA,01890,5,1.0
999,01-09,2020-01-09,Middlesex,Mount Auburn Hospital,330 MOUNT AUBURN ST,CAMBRIDGE,MA,02138,7,4.0
1000,01-16,2020-01-16,Norfolk,Norwood Hospital,800 Washington St.,Norwood,MA,02062,11,0.0
1001,01-23,2020-01-23,Bristol,Morton Hospital,88 Washington St.,Taunton,MA,02780,4,0.0
1002,02-04,2020-02-04,Middlesex,Lahey Hospital - Burlington,41 Burlington Mall Road,Burlington,MA,01805,4,2.0
1003,02-06,2020-02-06,Worcester,Life Care Center - The Highlands - SNF,335 Nichols St,Fitchburg,MA,01420,1,0.0
1004,02-25,2020-02-25,Bristol,Morton Hospital,88 Washington St.,Taunton,MA,02780,6,0.0
1005,03-01,2020-03-01,Plymouth,Good Samaritan Medical Center,235 North Pearl St.,Brockton,MA,02301,3,0.0
1006,03-04,2020-03-04,Bristol,Saint Anne's Hospital,795 Middle St.,Fall River,MA,02721,8,0.0
1007,03-06,2020-03-06,Essex,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,1,0.0
1008,03-09,2020-03-09,Suffolk,Massachusetts General Hospital,55 Fruit Street,Boston,MA,02114,7,3.0
1009,03-11,2020-03-11,Franklin,Baystate Franklin Medical Center,164 High St,Greenfield,MA,01301,1,0.0
1010,03-12,2020-03-12,Essex,Lawrence General Hospital,1 General St,Lawrence,MA,01841,1,0.0
1011,03-12,2020-03-12,Plymouth,Brockton Hospital,680 Centre St,Brockton,MA,02302,3,2.0
1012,03-24,2020-03-24,Middlesex,Newton-Wellesley Hospital,2014 Washington St,Newton,MA,02462,3,1.0
1013,03-25,2020-03-25,Middlesex,Newton-Wellesley Hospital,2014 Washington St,Newton,MA,02462,3,1.0
1014,01-06,2020-01-06,Worcester,Saint Vincent Hospital,123 Summer St.,Worchester,MA,01608,2,0.0
1015,01-13,2020-01-13,Worcester,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,3,0.0
1016,01-21,2020-01-21,Suffolk,Brigham and Women's Faulkner Hospital,1153 Centre St,Boston,MA,02130,4,3.0
1017,01-26,2020-01-26,Worcester,Heywood Hospital,242 Green Street,Gardner,MA,01440,1,0.0
1018,01-27,2020-01-27,Bristol,Charlton Memorial Hospital,363 Highland Ave,Fall River,MA,02720,3,1.0
1019,01-28,2020-01-28,Bristol,Charlton Memorial Hospital,363 Highland Ave,Fall River,MA,02720,2,1.0
1020,01-30,2020-01-30,Middlesex,Winchester Hospital,41 Highland Ave,Winchester,MA,01890,4,3.0
1021,02-04,2020-02-04,Essex,Lahey Hospital - Peabody,1 Essex Center Dr,Peabody,MA,01960,1,1.0
1022,02-11,2020-02-11,Middlesex,Melrose-Wakefield Medical,888 Main Street,Wakefield,MA,01880,2,0.0
1023,02-11,2020-02-11,Suffolk,Massachusetts General Hospital,55 Fruit Street,Boston,MA,02114,13,8.0
1024,03-01,2020-03-01,Norfolk,Norwood Hospital,800 Washington St.,Norwood,MA,02062,5,0.0
1025,03-02,2020-03-02,Middlesex,Emerson Hospital,133 Old Rd to 9 Acre Corner,Concord,MA,01742,1,0.0
1026,03-05,2020-03-05,Worcester,Athol Hospital,2033 Main St,Athol,MA,01331,2,0.0
1027,03-08,2020-03-08,Bristol,Morton Hospital,88 Washington St.,Taunton,MA,02780,3,0.0
1028,03-15,2020-03-15,Essex,North Shore Medical Center - Salem,81 Highland Ave,Salem,MA,01970,5,2.0
1029,03-16,2020-03-16,Middlesex,Lahey Hospital - Burlington,41 Burlington Mall Road,Burlington,MA,01805,1,0.0
1030,03-19,2020-03-19,Middlesex,Lowell General Hospital,295 Varnum Avenue,Lowell,MA,01854,1,1.0
1031,03-27,2020-03-27,Suffolk,Spaulding Outpatient Center Brighton,20 Guest St,Brighton,MA,02135,1,0.0
1032,01-08,2020-01-08,Suffolk,Carney Hospital,2100 Dorchester Ave,Dorchester,MA,02124,3,0.0
1033,01-21,2020-01-21,Bristol,Morton Hospital,88 Washington St.,Taunton,MA,02780,5,0.0
1034,02-06,2020-02-06,Essex,Anna Jaques Hospital,25 Highland Ave,Newburyport,MA,01950,1,0.0
1035,02-10,2020-02-10,Bristol,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,3,0.0
1036,02-11,2020-02-11,Suffolk,St. Elizabeth's Medical Center,736 Cambridge St.,Brighton,MA,02135,4,0.0
1037,02-21,2020-02-21,Middlesex,Lowell General Hospital,295 Varnum Avenue,Lowell,MA,01854,2,0.0
1038,03-05,2020-03-05,Suffolk,Carney Hospital,2100 Dorchester Ave,Dorchester,MA,02124,2,0.0
1039,03-14,2020-03-14,Plymouth,Brockton Hospital,680 Centre St,Brockton,MA,02302,3,0.0
1040,03-19,2020-03-19,Bristol,Morton Hospital,88 Washington St.,Taunton,MA,02780,5,0.0
1041,03-19,2020-03-19,Plymouth,Brockton Hospital,680 Centre St,Brockton,MA,02302,4,1.0
1042,03-20,2020-03-20,Franklin,Baystate Franklin Medical Center,164 High St,Greenfield,MA,01301,5,0.0
1043,03-21,2020-03-21,Middlesex,Palm Center - SNF,40 Parkhurst Road,Chelmsford,MA,01824,1,0.0
1044,03-21,2020-03-21,Norfolk,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,4,0.0
1045,03-25,2020-03-25,0,Harrington Hospital,100 South Street,Southbridge,MA,1550,1,0.0
1046,01-06,2020-01-06,Essex,NHA-Country Center for Health & Rehab - SNF,180 Low St,Newburyport,MA,01950,1,0.0
1047,01-07,2020-01-07,Essex,Lawrence General Hospital,1 General St,Lawrence,MA,01841,5,3.0
