,ENCOUNTER_FACILITY_NAME,ENCOUNTER_FACILITY_STREET,ENCOUNTER_FACILITY_CITY,ENCOUNTER_FACILITY_STATE,ENCOUNTER_FACILITY_ZIP,facility_county,yyyy_mm_dd,mm_dd,mem_cnt
696,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-31,01-31,8
697,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-03-22,03-22,6
698,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-03-12,03-12,3
699,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-01,01-01,8
700,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-27,01-27,9
701,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-08,01-08,9
702,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-30,01-30,12
703,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-03-05,03-05,9
704,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-03-08,03-08,5
705,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-02-04,02-04,9
706,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-03-20,03-20,5
707,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-02-03,02-03,6
708,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-03,01-03,10
709,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-02-06,02-06,5
710,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-17,01-17,7
711,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-28,01-28,7
712,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-11,01-11,9
713,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-03-17,03-17,6
714,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-05,01-05,5
715,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-03-09,03-09,6
716,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-03-18,03-18,9
717,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-03-06,03-06,7
718,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-02-16,02-16,5
719,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-23,01-23,3
720,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-03-16,03-16,6
721,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-02-09,02-09,3
722,Hathaway Manor Extended Care,863 Hathaway Rd.,New Bedford,MA,02740,Bristol,2020-03-18,03-18,1
723,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-02-01,02-01,6
724,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-22,01-22,5
725,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-02-23,02-23,4
726,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-02-13,02-13,7
727,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-26,01-26,7
728,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-04,01-04,7
729,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-20,01-20,2
730,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-29,01-29,2
731,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-21,01-21,9
732,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-03-13,03-13,5
733,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-14,01-14,6
734,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-16,01-16,5
735,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-03-07,03-07,11
736,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-03-11,03-11,4
737,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-03-10,03-10,8
738,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-18,01-18,2
739,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-13,01-13,4
740,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-02-05,02-05,7
741,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-03-15,03-15,2
742,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-06,01-06,3
743,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-03-14,03-14,8
744,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-03-21,03-21,3
745,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-03-23,03-23,4
746,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-03-24,03-24,4
747,Hathaway Manor Extended Care,863 Hathaway Rd.,New Bedford,MA,02740,Bristol,2020-03-01,03-01,1
748,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-03-02,03-02,4
749,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,Bristol,2020-01-15,01-15,3
750,Hathaway Manor Extended Care,863 Hathaway Rd.,New Bedford,MA,02740,Bristol,2020-03-05,03-05,1
751,Hathaway Manor Extended Care,863 Hathaway Rd.,New Bedford,MA,02740,Bristol,2020-02-21,02-21,1
752,Masconomet Healthcare Center,123 High Street,Topsfield,MA,01983,Essex,2020-01-24,01-24,1
753,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-06,01-06,9
754,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-02-11,02-11,9
755,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-02,01-02,11
756,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-05,01-05,16
757,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-02-01,02-01,8
758,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-01,01-01,15
759,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-02-03,02-03,6
760,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-08,01-08,12
761,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-07,03-07,10
762,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-22,01-22,6
763,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-10,01-10,12
764,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-09,03-09,6
765,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-15,01-15,8
766,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-20,01-20,13
767,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-27,01-27,9
768,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-04,03-04,5
769,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-08,03-08,5
770,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-02-07,02-07,11
771,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-28,01-28,10
772,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-04,01-04,11
773,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-18,01-18,6
774,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-03,03-03,5
775,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-02-09,02-09,5
776,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-12,03-12,9
777,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-17,03-17,7
778,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-02-25,02-25,8
779,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-11,01-11,15
780,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-21,03-21,4
781,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-03,01-03,13
782,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-02-28,02-28,8
783,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-14,01-14,21
784,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-06,03-06,10
785,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-11,03-11,7
786,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-18,03-18,5
787,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-19,03-19,4
788,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-09,01-09,8
789,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-17,01-17,12
790,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-15,03-15,8
791,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-01,03-01,6
792,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-24,01-24,10
793,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-14,03-14,4
794,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-02-04,02-04,11
795,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-21,01-21,11
796,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-19,01-19,11
797,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-22,03-22,5
798,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-02-06,02-06,10
799,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-29,01-29,11
800,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-02-02,02-02,9
801,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-02-13,02-13,8
802,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-16,01-16,14
803,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-10,03-10,6
804,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-25,01-25,9
805,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-24,03-24,6
806,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-20,03-20,4
807,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-02-05,02-05,7
808,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-31,01-31,6
809,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-02-23,02-23,3
810,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-02-16,02-16,13
811,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-16,03-16,6
812,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-23,03-23,2
813,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-05,03-05,12
814,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-02-18,02-18,6
815,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-13,01-13,6
816,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-30,01-30,8
817,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-23,01-23,5
818,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-02-21,02-21,5
819,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-02-10,02-10,7
820,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-02-20,02-20,3
821,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-26,01-26,5
822,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-13,03-13,3
823,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-03-02,03-02,9
824,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,Norfolk,2020-01-07,01-07,2
825,Briarwood Rehabilitation,150 Lincoln St,Needham,MA,02492,Norfolk,2020-03-12,03-12,1
826,Briarwood Rehabilitation,150 Lincoln St,Needham,MA,02492,Norfolk,2020-03-21,03-21,1
827,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-01-14,01-14,1
828,Next Step - Gloucester HealthCare - SNF,272 Washington St.,Gloucester,MA,01930,Essex,2020-03-05,03-05,1
829,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-01-03,01-03,1
830,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-03-13,03-13,1
831,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-02-09,02-09,2
832,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-02-06,02-06,1
833,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-03-08,03-08,1
834,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-01-21,01-21,1
835,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-01-11,01-11,2
836,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-01-04,01-04,2
837,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-03-03,03-03,1
838,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-03-07,03-07,1
839,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-01-19,01-19,1
840,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-01-16,01-16,1
841,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-02-25,02-25,1
842,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-01-05,01-05,2
843,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-01-26,01-26,1
844,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-01-09,01-09,1
845,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-01-20,01-20,1
846,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-02-07,02-07,1
847,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-01-17,01-17,1
848,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-03-15,03-15,1
849,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-03-14,03-14,1
850,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-01-13,01-13,1
851,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-01-23,01-23,2
852,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-02-05,02-05,1
853,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,Essex,2020-03-16,03-16,1
854,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-02-01,02-01,1
855,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-03-08,03-08,1
856,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-02-05,02-05,2
857,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-01-09,01-09,2
858,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-01-20,01-20,3
859,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-02-06,02-06,1
860,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-02-21,02-21,1
861,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-02-07,02-07,1
862,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-01-01,01-01,3
863,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-02-20,02-20,1
864,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-02-04,02-04,1
865,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-01-18,01-18,3
866,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-02-28,02-28,2
867,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-01-02,01-02,1
868,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-02-18,02-18,2
869,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-01-04,01-04,1
870,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-01-29,01-29,2
871,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-01-21,01-21,2
872,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-03-03,03-03,1
873,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-01-08,01-08,3
874,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-01-25,01-25,2
875,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-03-14,03-14,2
876,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-03-06,03-06,1
877,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-03-07,03-07,1
878,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-02-13,02-13,1
879,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-01-10,01-10,1
880,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-01-06,01-06,1
881,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-01-15,01-15,1
882,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-01-22,01-22,1
883,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-01-05,01-05,2
884,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-01-30,01-30,1
885,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-03-18,03-18,1
886,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-03-10,03-10,1
887,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-01-13,01-13,1
888,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-03-05,03-05,1
889,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-03-21,03-21,2
890,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-03-20,03-20,1
891,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-02-11,02-11,1
892,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-01-16,01-16,1
893,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-02-02,02-02,1
894,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-03-04,03-04,1
895,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-03-17,03-17,1
896,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,Worcester,2020-01-27,01-27,1
897,Life Care Center of West Bridgewater - SNF,765 W Center St,West Bridgewater,MA,02379,Plymouth,2020-03-13,03-13,2
898,Life Care Center of West Bridgewater - SNF,765 W Center St,West Bridgewater,MA,02379,Plymouth,2020-01-22,01-22,1
899,Life Care Center of West Bridgewater - SNF,765 W Center St,West Bridgewater,MA,02379,Plymouth,2020-02-06,02-06,2
900,Life Care Center of West Bridgewater - SNF,765 W Center St,West Bridgewater,MA,02379,Plymouth,2020-03-24,03-24,3
901,Life Care Center of West Bridgewater - SNF,765 W Center St,West Bridgewater,MA,02379,Plymouth,2020-01-07,01-07,2
902,Life Care Center of West Bridgewater - SNF,765 W Center St,West Bridgewater,MA,02379,Plymouth,2020-03-05,03-05,1
903,Life Care Center of West Bridgewater - SNF,765 W Center St,West Bridgewater,MA,02379,Plymouth,2020-01-28,01-28,1
904,Life Care Center of West Bridgewater - SNF,765 W Center St,West Bridgewater,MA,02379,Plymouth,2020-01-04,01-04,1
905,Life Care Center of West Bridgewater - SNF,765 W Center St,West Bridgewater,MA,02379,Plymouth,2020-02-16,02-16,1
906,Life Care Center of West Bridgewater - SNF,765 W Center St,West Bridgewater,MA,02379,Plymouth,2020-03-11,03-11,1
907,Life Care Center of West Bridgewater - SNF,765 W Center St,West Bridgewater,MA,02379,Plymouth,2020-01-05,01-05,1
908,Life Care Center of West Bridgewater - SNF,765 W Center St,West Bridgewater,MA,02379,Plymouth,2020-01-20,01-20,1
909,Life Care Center of West Bridgewater - SNF,765 W Center St,West Bridgewater,MA,02379,Plymouth,2020-02-04,02-04,1
910,Life Care Center of West Bridgewater - SNF,765 W Center St,West Bridgewater,MA,02379,Plymouth,2020-01-25,01-25,2
911,Life Care Center of West Bridgewater - SNF,765 W Center St,West Bridgewater,MA,02379,Plymouth,2020-01-29,01-29,1
912,Life Care Center of West Bridgewater - SNF,765 W Center St,West Bridgewater,MA,02379,Plymouth,2020-03-04,03-04,2
913,Life Care Center of West Bridgewater - SNF,765 W Center St,West Bridgewater,MA,02379,Plymouth,2020-03-21,03-21,1
914,Life Care Center of West Bridgewater - SNF,765 W Center St,West Bridgewater,MA,02379,Plymouth,2020-01-17,01-17,1
915,Life Care Center of West Bridgewater - SNF,765 W Center St,West Bridgewater,MA,02379,Plymouth,2020-02-28,02-28,1
916,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-02-16,02-16,3
917,Cedar View Rehabilitation & Healthcare Center,480 Jackson St,Methuen,MA,01844,Essex,2020-03-04,03-04,2
918,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-02-18,02-18,1
919,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-02-25,02-25,1
920,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-01-17,01-17,2
921,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-03-24,03-24,1
922,Cedar View Rehabilitation & Healthcare Center,480 Jackson St,Methuen,MA,01844,Essex,2020-03-08,03-08,1
923,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-03-16,03-16,1
924,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-03-15,03-15,2
925,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-03-18,03-18,3
926,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-01-28,01-28,2
927,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-01-13,01-13,1
928,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-02-01,02-01,3
929,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-02-21,02-21,2
930,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-03-13,03-13,2
931,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-03-07,03-07,3
932,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-03-11,03-11,2
933,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-01-01,01-01,1
934,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-03-04,03-04,5
935,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-02-03,02-03,1
936,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-02-13,02-13,2
937,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-03-17,03-17,1
938,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-03-06,03-06,1
939,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-03-14,03-14,1
940,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-01-08,01-08,1
941,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-03-05,03-05,2
942,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-01-09,01-09,2
943,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-01-26,01-26,1
944,Cedar View Rehabilitation & Healthcare Center,480 Jackson St,Methuen,MA,01844,Essex,2020-03-14,03-14,1
945,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-03-19,03-19,1
946,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-02-10,02-10,2
947,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-02-28,02-28,1
948,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-03-08,03-08,2
949,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-01-16,01-16,1
950,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-01-22,01-22,1
951,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-01-24,01-24,1
952,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-02-23,02-23,1
953,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-01-18,01-18,1
954,Cedar View Rehabilitation & Healthcare Center,480 Jackson St,Methuen,MA,01844,Essex,2020-03-18,03-18,1
955,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-01-29,01-29,1
956,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-03-10,03-10,3
957,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-01-04,01-04,2
958,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-02-20,02-20,1
959,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-03-01,03-01,2
960,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,Essex,2020-01-05,01-05,1
